申请时间,用户ID,认证年,认证月,认证日,身份证是否存在,是否认证,是否电话认证,认证间隔时间,银行卡数量,储蓄卡比例,信用卡比例,性别,年龄,订单总额,均值,标准差,预留不同电话数量,贷款次数
2016/11/2 0:28,A989869820128887872,2016,4,8,0,1,1,208,5,0.5,0.5,1,39,24319.08,639.975789,1198.11737,3,3
2017/4/9 14:22,A636561879092296351,2017,4,23,0,1,1,-14,2,1,0,1,56,4662.52,160.776551,194.157067,4,4
2017/4/5 19:41,A131417662207430752,2017,1,3,1,1,0,92,1,0.5,0.5,0,59,1224.8,111.345454,67.6116168,1,5
2016/6/17 17:58,A790548145903007327,2016,2,3,1,1,0,135,2,0.5,0.5,0,65,16400.8,2342.97142,2153.13868,5,1
2016/9/15 16:59,A373648741820177717,2016,10,3,0,1,0,-18,4,0.25,0.75,0,42,14033.4,412.747058,1034.61959,5,5
2017/3/4 13:29,A926095874787726431,2016,5,10,1,1,0,298,4,0.75,0.25,1,52,27451.4,481.603508,751.979802,4,4
2017/3/17 0:03,A593569842453574142,2016,6,2,1,1,0,288,2,0.5,0.5,1,62,4934.3,176.225,596.143188,5,4
2017/1/17 14:31,A546998566769096014,2016,7,23,0,1,1,178,1,1,0,1,47,12707.98,4235.99333,3836.26009,4,4
2017/3/8 16:51,A934519864642600857,2016,10,18,0,1,0,141,3,1,0,1,57,9992.4,713.742857,1619.81621,3,3
2017/3/30 11:21,A516424549346102474,2017,8,1,1,1,0,-124,2,1,0,1,33,4835.04,193.4016,281.084289,4,1
2017/4/26 15:39,A356042338318932389,2016,11,27,1,1,1,150,1,1,0,0,63,6883.1,327.766666,841.486496,4,5
2017/3/22 21:20,A357092363534122570,2015,11,3,1,1,1,505,2,0.33333333,0.66666666,0,39,90135.89,667.673259,1643.96490,4,2
2017/3/1 0:39,A442303224692009552,2017,6,8,0,1,1,-99,2,1,0,0,50,2098,1049,70.7106781,2,2
2017/3/20 8:42,A281685365795411990,2016,7,9,1,1,0,254,1,1,0,0,38,598,299,305.470129,5,3
2016/4/20 15:06,A110480252756020768,2014,3,31,0,1,1,751,1,1,0,1,54,9885.98,3295.32666,2845.63297,2,2
2016/12/12 17:57,A928628225119586648,2016,9,6,1,1,0,97,5,0.33333333,0.66666666,1,30,829.6,118.514285,126.492047,4,4
2016/5/6 22:13,A621510250995200374,2016,6,1,1,1,0,-26,1,1,0,0,39,10116,2529,2829.01631,1,1
2017/4/11 12:05,A273375108761296109,2017,6,1,1,1,1,-51,2,1,0,0,37,30196.4,1437.92381,2116.55503,3,4
2017/1/24 13:57,A784304822718640950,2017,1,9,1,1,0,15,3,1,0,1,46,2597.6,173.173333,323.133208,1,2
2016/7/2 10:58,A897476837565256640,2015,10,14,0,1,1,262,2,0.66666666,0.33333333,0,38,39256.1,2180.89444,2825.42808,3,2
2017/3/19 20:02,A605550619781649812,2015,1,26,0,1,0,783,4,0.33333333,0.66666666,0,27,11869.7,289.504878,288.609935,4,4
2017/4/30 13:21,A850105669282273551,2016,6,12,1,1,1,322,1,1,0,0,40,722,90.25,50.2301844,5,3
2017/4/24 19:44,A728614342016588662,2016,2,5,0,1,1,444,2,1,0,1,25,35011.66,514.877352,1270.02530,3,3
2017/4/3 21:04,A766776340141977421,2017,6,9,1,1,0,-67,1,1,0,1,36,2032.8,677.6,632.371631,1,3
2017/4/22 13:39,A768904144619065778,2016,4,23,0,1,0,364,1,1,0,1,25,3787.3,541.042857,905.972043,3,2
2017/2/6 23:11,A413031797818081529,2016,8,11,0,1,1,179,1,1,0,0,58,1269,634.5,897.318505,5,1
2017/3/12 19:26,A577986114859871037,2016,11,26,1,1,1,106,1,1,0,0,52,310.3,62.06,66.6624182,1,2
2017/3/8 13:09,A595904502025610872,2017,5,28,1,1,1,-81,3,0.5,0.5,0,28,39464.3,773.809803,1156.56573,1,4
2017/3/4 15:02,A182346834098451571,2015,5,23,0,1,1,651,2,1,0,1,44,23547.4,1962.28333,2407.78169,1,3
2017/3/14 23:42,A844488744439264177,2015,9,29,0,1,1,532,4,0.5,0.5,1,51,31694.8,440.205555,969.670681,3,4
2017/3/4 17:57,A160699221739747349,2016,11,12,0,1,1,112,2,0.33333333,0.66666666,1,59,776,97,46.5863254,1,4
2017/4/23 7:02,A424118769938073106,2015,6,18,1,1,1,675,5,1,0,1,41,22054.43,256.446860,668.764819,4,1
2017/3/4 23:54,A322296063337478233,2016,9,6,0,1,0,179,1,1,0,1,54,23216,414.571428,1433.79374,4,2
2017/4/25 7:55,A260700259453415535,2016,6,26,1,1,1,303,2,1,0,1,44,203,67.6666666,12.7017059,2,4
2017/3/22 15:41,A532512278467097231,2017,3,11,1,1,1,11,1,1,0,0,56,207.7,34.6166666,17.1415771,2,1
2016/7/8 20:04,A997206484738887980,2016,9,1,1,1,0,-55,1,1,0,1,38,3394.6,212.1625,254.170213,1,2
2016/10/16 13:32,A824482872102916464,2017,3,25,1,1,0,-160,1,1,0,0,44,17.6,8.8,4.24264068,3,1
2017/4/27 13:20,A693662956886259753,2017,8,15,1,1,0,-110,3,0.4,0.6,0,41,10506.75,106.128787,190.274814,4,2
2017/4/19 14:25,A394724955969999783,2017,2,25,0,1,0,53,1,1,0,0,54,567,283.5,246.780266,2,1
2017/3/5 23:34,A440154718605572799,2014,11,11,1,1,1,845,7,0.375,0.625,0,28,55840.35,656.945294,1450.90631,4,2
2017/3/30 1:15,A946326306249578329,2016,12,17,0,1,1,103,1,1,0,0,45,757.9,68.9,21.4939526,4,1
2017/4/7 2:04,A342807854813488370,2016,12,5,0,1,1,123,1,1,0,1,64,2824.25,188.283333,213.090081,3,4
2016/11/15 9:03,A673646547189079994,2016,6,12,0,1,1,156,4,0.42857142,0.57142857,0,65,9724.45,572.026470,790.519254,5,3
2017/3/5 22:14,A649561309951151667,2016,2,13,0,1,0,386,2,0.5,0.5,1,42,32070.05,377.294705,816.619128,2,3
2017/4/3 13:27,A722602958204655519,2017,7,24,0,1,0,-112,1,1,0,1,61,712.2,89.025,39.3966652,2,3
2017/3/28 15:20,A801290415316501516,2016,6,17,1,1,1,284,1,0.5,0.5,0,54,9397.2,1879.44,2886.60574,1,1
2017/4/25 18:12,A832878412640004033,2017,3,27,0,1,0,29,2,0.5,0.5,1,58,3684,1842,4.24264068,2,1
2017/3/5 20:18,A229701102189344397,2016,12,20,0,1,0,75,1,1,0,0,34,10243.3,445.360869,911.054409,1,4
2017/4/10 17:44,A964341582855191864,2016,11,4,1,1,0,157,4,0.6,0.4,0,38,4592.5,574.0625,1303.49776,2,2
2017/3/13 15:18,A393708507927023884,2017,9,17,1,1,0,-188,5,0.5,0.5,0,38,13702,685.1,976.004794,3,5
2017/4/26 10:22,A950881126001064430,2016,1,30,1,1,0,452,1,1,0,0,60,17988.5,165.032110,211.933165,5,3
2017/2/22 1:07,A295431301649427556,2016,4,17,0,1,1,311,1,1,0,1,52,1051,262.75,464.719539,1,2
2017/3/14 13:45,A253830588161942253,2016,8,13,0,1,1,213,2,1,0,0,41,8829,304.448275,638.549422,2,5
2016/8/26 23:27,A227526858405717708,2016,5,30,0,1,1,88,3,0.33333333,0.66666666,0,50,7344,1836,664.587089,4,1
2017/3/11 1:42,A130363398265004222,2017,2,13,0,1,0,26,1,1,0,1,45,12767,2127.83333,3231.95540,5,4
2017/4/25 14:20,A722749892582488238,2017,8,5,1,1,0,-102,4,0.25,0.75,1,59,22215.2,2776.9,3675.45374,4,3
2016/5/26 15:29,A807382131300874688,2017,4,19,1,1,0,-328,1,1,0,0,35,22881.59,847.466296,1910.24132,1,2
2017/1/20 23:55,A921403621913883473,2016,9,23,0,1,1,119,2,0.5,0.5,0,47,12515,3128.75,3227.01413,5,1
2017/3/31 22:44,A852155596350683292,2017,7,18,1,1,1,-109,5,0.71428571,0.28571428,1,26,23949.14,357.449850,936.467965,4,4
2017/1/18 10:43,A185920573781556393,2016,8,7,1,1,0,164,2,0.33333333,0.66666666,0,35,44068.3,312.541134,717.044410,3,3
2017/3/4 11:21,A955582356338218163,2016,12,27,1,1,1,67,3,0.66666666,0.33333333,1,54,4587.9,509.766666,611.964655,1,4
2017/3/5 11:34,A389381039646285316,2017,7,19,0,1,1,-136,2,0.5,0.5,1,61,42836.59,319.676044,922.094274,5,4
2017/4/7 23:17,A508062607336243420,2016,11,30,1,1,0,128,2,0.33333333,0.66666666,0,29,491,81.8333333,56.5028022,3,1
2016/8/26 21:11,A247910337390866049,2016,11,15,1,1,0,-81,1,1,0,1,57,4288.4,329.876923,703.422785,4,1
2017/3/11 17:24,A740619795998748091,2016,8,15,1,1,1,208,1,1,0,1,54,44487.67,390.242719,864.511749,3,4
2017/2/19 19:05,A655932356088209371,2016,3,25,0,1,0,331,2,0.5,0.5,0,39,8577.7,225.728947,148.424850,2,4
2017/3/4 12:37,A687902138568992717,2017,7,1,1,1,0,-119,5,0.8,0.2,1,31,2303.8,383.966666,538.464786,1,3
2017/4/1 11:30,A705732331994933102,2017,2,9,0,1,1,51,1,1,0,0,58,495.4,123.85,127.25037,4,3
2017/3/4 18:44,A479116931436121432,2017,7,23,1,1,0,-141,2,0.66666666,0.33333333,1,25,25996.42,337.615844,792.323765,1,3
2017/3/4 22:34,A258969893643855331,2016,3,28,0,1,1,341,2,0.33333333,0.66666666,0,44,2249.3,160.664285,308.766323,4,2
2016/4/20 6:49,A338399436312830411,2016,3,13,0,1,0,38,7,0.4,0.6,1,35,1136.28,75.752,120.284003,3,4
2017/2/20 17:42,A114471917516912401,2014,2,20,1,1,1,1096,7,0.3,0.7,1,26,178390.63,369.338778,863.361332,3,2
2016/10/3 11:59,A939108735212249730,2016,3,5,0,1,0,212,8,0.35714285,0.64285714,1,29,41957.24,134.910739,223.424136,2,5
2017/4/27 10:05,A453833724163827579,2016,9,11,0,1,0,228,2,0.5,0.5,0,61,4086,1362,1841.17000,1,2
2017/3/21 16:28,A580563220647037713,2017,9,14,0,1,0,-177,1,1,0,1,65,830.2,103.775,153.713129,5,3
2016/12/7 20:23,A887115355582143480,2016,10,27,1,1,0,41,2,0,1,1,55,13018.6,250.357692,341.252594,4,2
2017/2/21 9:52,A772229127697320719,2016,11,11,1,1,0,102,1,1,0,1,65,4735,1183.75,941.677713,2,5
2017/3/11 19:46,A540355070203787838,2016,9,29,0,1,0,163,1,1,0,0,42,499,99.8,0,3,4
2017/2/16 17:54,A643932756305507760,2017,7,17,1,1,0,-151,4,0.8,0.2,1,28,17177.12,306.734285,835.894986,2,4
2017/2/12 1:23,A641264335457491080,2017,7,6,1,1,0,-144,2,0.8,0.2,1,41,2319.3,193.275,174.794102,2,5
2017/3/5 9:14,A385449285546026914,2015,9,9,0,1,1,543,2,1,0,0,43,1764.43,70.5772,56.2865247,2,5
2017/4/26 14:02,A254099698520575548,2015,2,11,1,1,1,805,2,0.33333333,0.66666666,1,59,7070.28,228.073548,505.777963,1,3
2017/4/17 11:07,A586239696841133975,2016,12,5,1,1,0,133,1,0.5,0.5,1,36,6214.5,230.166666,487.110275,2,5
2017/4/29 5:54,A734479393621716344,2016,2,10,1,1,0,444,3,0.4,0.6,0,61,38358.98,314.417868,984.718032,2,3
2017/4/13 14:35,A758722965133867406,2017,7,8,1,1,0,-86,1,1,0,1,43,16942.28,197.003255,450.530899,3,3
2017/4/26 5:55,A681566898367741896,2016,9,27,1,1,0,211,2,0.66666666,0.33333333,0,49,30843.86,299.454951,1173.40223,5,4
2016/11/6 13:36,A579533841620908092,2017,6,28,1,1,1,-234,1,1,0,0,64,9442.8,726.369230,1631.12391,4,5
2017/4/16 13:13,A644824138265945576,2016,8,29,0,1,1,230,1,1,0,1,30,1940.7,242.5875,347.974167,2,1
2017/3/4 15:06,A357584761199511584,2017,6,26,1,1,1,-114,4,0.66666666,0.33333333,0,32,157212.2,276.782042,651.116610,5,3
2017/3/20 20:45,A123981686089942852,2016,6,6,1,1,0,287,1,0.5,0.5,0,40,10476,5238,636.396103,5,3
2017/4/6 15:06,A718217274077921723,2016,9,11,1,1,0,207,1,1,0,1,33,2898,1449,494.974746,4,2
2017/3/22 14:29,A234027260519501676,2016,9,5,1,1,1,198,2,0.5,0.5,1,37,3486.14,116.204666,120.947729,3,2
2017/4/3 13:05,A497937486391962132,2016,1,3,0,1,0,456,2,0.5,0.5,1,26,7634.6,1526.92,1920.77182,5,1
2017/3/13 7:11,A369985971803711971,2016,5,15,1,1,0,302,3,1,0,1,64,15206.5,1382.40909,913.861882,4,5
2017/4/10 17:02,A123306937249183371,2017,1,8,1,1,1,92,1,1,0,0,46,178,89,0,2,2
2017/3/4 11:09,A907950670576669546,2016,11,11,1,1,0,113,1,1,0,0,50,1126.7,70.41875,61.4358334,1,5
2017/4/1 15:44,A771763070230236199,2015,6,18,0,1,0,653,3,0.66666666,0.33333333,1,44,27245.2,878.877419,1404.98899,2,1
2017/1/12 11:17,A559968185088110839,2017,6,15,0,1,1,-154,7,0.55555555,0.44444444,1,63,20258.42,225.093555,519.332002,5,5
2017/4/18 20:10,A587902840587884476,2014,6,20,0,1,0,1033,1,1,0,1,41,86.9,43.45,30.4763022,3,2
2017/3/4 3:44,A846630203358152143,2017,1,1,0,1,0,62,1,1,0,1,43,8887,4443.5,2184.25284,1,4
2017/4/25 18:03,A394133683399865486,2017,8,11,0,1,1,-108,6,0.5,0.5,0,39,45948.21,280.172012,565.977679,2,5
2017/3/7 15:38,A554389244119123404,2017,5,31,1,1,1,-85,2,0.5,0.5,0,41,5628.72,375.248,519.183777,4,1
2017/3/7 10:01,A550215775616901312,2016,7,29,1,1,1,221,2,0.33333333,0.66666666,1,33,1961.44,196.144,212.704407,3,1
2016/5/20 15:02,A119001298782008877,2016,3,27,0,1,1,54,3,0.66666666,0.33333333,1,30,19930.7,1245.66875,2221.15008,3,2
2016/4/25 14:59,A775460342299861927,2017,7,25,0,1,1,-456,3,0.4,0.6,0,36,4978.84,160.607741,125.424269,2,2
2016/4/26 16:13,A894369361960833046,2016,2,15,0,1,1,71,1,0,1,1,47,2184.59,273.07375,573.080722,3,5
2017/4/2 14:39,A403176735425612624,2016,11,29,1,1,1,124,1,1,0,1,63,325.79,65.158,62.5131775,5,2
2017/4/25 22:50,A220329606985414184,2017,8,6,1,1,0,-103,3,0.75,0.25,0,54,15794.15,717.915909,1364.17254,2,2
2016/8/26 21:11,A179227989878973461,2016,11,15,1,1,0,-81,1,1,0,1,26,4288.4,329.876923,703.422785,5,3
2017/3/6 15:16,A403561784513165178,2016,8,2,1,1,0,216,2,0.5,0.5,0,31,10726,1072.6,2064.87181,5,2
2016/8/22 12:43,A263143161118437327,2015,4,9,0,1,1,501,1,1,0,0,45,140,70,49.4974746,1,5
2017/4/3 13:54,A197566541207303370,2015,8,3,0,1,1,609,3,0.16666666,0.83333333,1,56,21962.42,244.026888,470.671048,1,4
2016/5/5 22:46,A374569169725183370,2015,10,8,1,1,0,210,1,1,0,1,43,6966,302.869565,475.905577,5,1
2017/4/15 12:18,A659860421719356005,2016,6,3,1,1,0,316,1,1,0,1,61,2028,72.4285714,112.722776,1,1
2017/3/7 15:09,A847501317649092464,2016,11,6,0,1,1,121,2,0.5,0.5,1,42,3155.7,116.877777,303.040181,1,4
2017/4/6 22:24,A674861669874403876,2015,9,25,0,1,0,559,5,0.6,0.4,1,37,773.02,64.4183333,96.4445176,5,5
2017/4/18 18:09,A995947606181714412,2016,10,9,0,1,1,191,1,1,0,0,40,987.9,109.766666,57.5092601,3,2
2017/4/4 0:44,A104918453755839656,2016,5,27,0,1,1,312,2,1,0,1,48,146,73,35.3553390,4,1
2016/7/16 0:12,A952842120940453298,2015,2,6,1,1,0,526,3,0.33333333,0.66666666,1,33,12122.95,418.032758,871.643480,1,4
2017/4/8 8:18,A727099869492347405,2016,12,20,0,1,1,109,1,1,0,1,64,11239.92,702.495,1130.51406,2,1
2017/3/4 14:52,A560478034633700677,2017,6,16,1,1,1,-104,1,1,0,1,45,917.7,101.966666,51.2315088,3,2
2016/10/4 10:55,A962244938521286433,2016,5,26,1,1,0,131,2,1,0,1,46,5781.47,192.715666,367.586799,1,5
2016/12/16 0:22,A332715416637264138,2016,11,8,1,1,1,38,3,0.5,0.5,1,54,7677.47,590.574615,1223.55073,5,3
2017/4/29 22:51,A570090020363860815,2017,8,6,0,1,1,-99,4,0.5,0.5,0,40,21076.06,430.123673,697.377377,3,4
2016/5/10 13:20,A222308831279284213,2017,8,21,1,1,1,-468,3,0.66666666,0.33333333,1,43,19578.65,489.46625,1127.04722,1,2
2016/11/30 15:08,A952451633428755705,2016,3,31,1,1,0,244,2,0.33333333,0.66666666,0,36,12740.86,707.825555,1534.04778,1,2
2017/3/4 20:06,A548315958348922362,2016,3,17,0,1,1,352,2,0.33333333,0.66666666,0,48,696.58,14.8208510,8.56792700,5,1
2017/4/12 12:11,A426955098860860625,2015,10,7,0,1,0,553,1,1,0,0,25,106661,767.345323,1293.22261,5,3
2017/3/4 14:51,A272406460364461597,2016,4,25,0,1,0,313,1,1,0,1,25,417.32,59.6171428,23.3376960,2,1
2017/3/26 17:48,A772428913417393305,2017,7,15,1,1,0,-111,2,1,0,1,56,333.9,83.475,73.7575024,4,3
2017/3/4 17:42,A336265674140319574,2016,11,18,1,1,0,106,2,1,0,0,54,26519.95,697.893421,1170.76018,4,1
2017/4/14 12:43,A871855412180261763,2016,1,23,1,1,1,447,1,1,0,1,44,29149.9,1079.62592,1685.25008,1,2
2017/4/22 3:36,A556680716564784270,2016,8,15,0,1,0,250,2,0.5,0.5,0,29,15602.3,600.088461,1187.71787,2,4
2017/4/24 22:16,A745752855023309649,2017,7,7,0,1,0,-74,5,0.6,0.4,1,59,11391.5,167.522058,262.434140,1,1
2016/12/27 1:17,A970158278839575460,2016,7,5,1,1,0,175,2,1,0,0,38,863,78.4545454,62.1442574,4,3
2017/3/8 9:25,A933240323463972564,2016,1,6,1,1,0,427,2,0.66666666,0.33333333,0,39,17783.2,538.884848,578.637761,1,4
2016/5/23 21:44,A702196022813500094,2015,5,29,1,1,1,360,1,1,0,1,33,24470.71,354.647971,751.959202,2,1
2017/4/14 17:01,A260155614253625883,2017,7,6,1,1,0,-83,8,0.16666666,0.83333333,1,32,176837.4,423.055980,929.177465,5,4
2016/9/16 8:28,A934687916709457450,2016,6,4,0,1,0,104,3,0.66666666,0.33333333,0,59,15281.23,212.239305,635.503079,3,2
2016/5/6 1:26,A463998327700191140,2016,4,24,1,1,1,12,3,1,0,0,50,18521.1,330.733928,579.026690,1,2
2017/4/7 16:04,A779798534208632662,2016,8,30,1,1,0,220,1,1,0,0,38,1050.32,150.045714,89.5685552,2,1
2017/4/15 20:37,A152923791837861448,2017,6,18,1,1,1,-64,2,0.5,0.5,0,46,23265,930.6,1884.01559,5,2
2017/4/8 18:49,A770513633998269692,2017,7,17,1,1,0,-100,3,0.6,0.4,1,30,160119.33,2052.81192,14474.3109,4,4
2016/6/24 17:37,A325514931992452398,2017,7,7,0,1,1,-378,1,0.5,0.5,1,63,747.4,149.48,78.5611354,3,2
2017/3/16 14:40,A254745805683324043,2017,8,10,1,1,1,-147,4,0.5,0.5,1,29,42849.9,412.018269,615.820108,5,5
2016/11/28 21:17,A615571052353500199,2016,7,13,1,1,1,138,1,1,0,0,59,805.2,115.028571,216.370474,3,1
2016/6/20 19:33,A317668768779871051,2016,1,26,0,1,1,146,2,0.66666666,0.33333333,1,40,9966.3,524.542105,1138.98950,2,3
2017/3/29 13:31,A439692434775306624,2016,11,20,0,1,0,129,2,1,0,1,48,78.9,39.45,0.63639610,3,3
2016/12/25 23:40,A131657307264194083,2016,12,22,1,1,0,3,1,1,0,0,31,4112.8,316.369230,490.365140,5,2
2017/3/26 14:33,A411876623191515572,2017,2,12,0,1,0,42,2,0.5,0.5,0,64,691.4,230.466666,237.120862,2,2
2017/4/18 5:09,A734114476426997443,2016,9,4,0,1,0,226,1,1,0,0,59,67.95,33.975,20.8950053,4,1
2016/9/18 8:53,A727242362194170616,2016,9,22,1,1,1,-4,1,1,0,0,65,705,141,96.6359146,4,5
2017/3/4 15:45,A338337696093961777,2017,8,11,0,1,0,-160,5,0.625,0.375,1,41,94633.29,801.977033,1470.99081,3,3
2017/3/11 12:59,A317803046613074438,2016,3,27,1,1,1,349,2,0.5,0.5,1,45,10552,811.692307,1208.38979,2,4
2017/4/10 10:03,A271786912893202168,2016,6,18,0,1,1,296,2,1,0,0,50,4931,986.2,1853.10636,5,1
2017/4/26 6:42,A429195076905903224,2017,1,22,0,1,0,94,1,1,0,1,29,17353,1446.08333,1717.93737,3,5
2017/2/23 18:41,A307480656267993314,2017,2,23,1,1,1,0,1,1,0,0,46,1926.8,91.7523809,32.9897502,4,4
2017/3/22 11:57,A349870437228942724,2015,8,22,0,1,1,578,3,0.75,0.25,1,54,8323.01,208.07525,459.254185,1,4
2017/3/6 9:37,A586497034676440117,2017,7,27,0,1,0,-143,4,0.4,0.6,1,63,4531.1,283.19375,400.341505,4,2
2017/3/4 15:02,A611690455441478227,2015,5,23,1,1,0,651,2,1,0,0,50,23547.4,1962.28333,2407.78169,1,4
2017/4/25 9:58,A484335107369825299,2016,11,2,1,1,1,174,3,1,0,0,29,930.7,84.6090909,78.3354001,2,3
2016/10/20 10:36,A221484165525666349,2016,7,25,0,1,1,87,2,1,0,1,40,2749.9,152.772222,134.989728,3,3
