用户ID,认证间隔时间,银行卡数量,储蓄卡比例,信用卡比例,性别,年龄,订单总额,均值,标准差,预留不同电话数量,贷款次数,数据来源标识,审核标识
A2016051712000309825,257.0,2,1.0,0.0,0.0,0,5137.7,125.309756,91.000349,4.0,8,1,1.0
A512090269668085768,916.0,4,0.5,0.5,1.0,42,17617.44,338.796923,900.393312,6.0,0,1,1.0
A575907723716071432,260.0,2,0.5,0.5,1.0,27,14882.6,330.724444,666.67959,3.0,35,1,1.0
A612063567016890376,349.0,5,0.8,0.2,0.0,0,33850.35,238.382746,802.814485,13.0,0,1,1.0
A575352671486087176,228.0,1,0.0,1.0,0.0,0,367.8,52.5428571,39.8875025,1.0,2,1,1.0
A591322716473135112,122.0,1,1.0,0.0,0.0,0,102.0,3.51724137,3.86024323,1.0,0,1,1.0
A576012938100346888,197.0,1,1.0,0.0,0.0,0,14193.0,1577.0,2306.70267,1.0,0,1,1.0
A588413846356496392,152.0,1,1.0,0.0,0.0,0,5996.8,2998.4,4099.23943,2.0,0,1,1.0
A2016042813000251252,55.0,1,1.0,0.0,0.0,0,4281.9,856.38,734.598783,1.0,5,1,1.0
A593399380078235912,-46.0,1,0.0,1.0,0.0,0,177.0,88.5,0.70710678,1.0,0,1,1.0
A610957171756109832,640.0,3,0.66666666,0.33333333,1.0,0,15410.3,321.047916,326.338585,4.0,14,1,1.0
A596881366042284040,456.0,2,0.5,0.5,0.0,0,7634.6,1526.92,1920.77182,2.0,0,1,1.0
A520861006059016200,461.0,5,0.42857142,0.57142857,1.0,32,44312.0,1704.30769,3529.73699,5.0,6,1,1.0
A2016050519000277674,-109.0,1,1.0,0.0,0.0,0,22506.0,4501.2,2331.7957,1.0,9,1,1.0
A571696109244649736,-10.0,1,1.0,0.0,0.0,0,417.5,208.75,269.05413,1.0,0,1,1.0
A2016082720000658509,6.0,1,1.0,0.0,0.0,0,4697.8,1565.93333,1269.70871,1.0,0,1,1.0
A522378223271546888,-266.0,1,1.0,0.0,0.0,0,5876.8,1175.36,2419.88426,1.0,0,1,1.0
A2016071210000487229,48.0,2,0.5,0.5,0.0,0,5043.7,2521.85,3501.80491,1.0,2,1,1.0
A531699885527798024,195.0,1,0.0,1.0,0.0,0,4693.0,223.47619,626.979076,2.0,0,1,1.0
A2016042518000244630,64.0,3,1.0,0.0,1.0,29,22123.03,691.344687,917.387509,2.0,37,1,1.0
A2016062419000429738,216.0,2,0.5,0.5,1.0,37,5896.8,1965.6,1802.80544,1.0,0,1,1.0
A2016051521000305575,333.0,3,0.4,0.6,1.0,22,52664.17,325.087469,907.471619,14.0,25,1,1.0
A576648853567049736,494.0,1,1.0,0.0,1.0,25,41511.8,1153.10555,919.085412,4.0,11,1,1.0
A588086527980998664,268.0,3,0.66666666,0.33333333,0.0,0,21037.9,1618.3,2069.73932,1.0,0,1,1.0
A593965015116026120,92.0,2,0.66666666,0.33333333,1.0,23,4106.7,342.225,382.056307,1.0,0,1,1.0
A510649064711262216,117.0,2,0.66666666,0.33333333,1.0,27,1110.0,370.0,260.850531,1.0,0,1,1.0
A598522361125277960,-169.0,3,0.5,0.5,0.0,0,52533.06,719.630958,1179.9112,12.0,0,1,1.0
A589948824139599880,13.0,4,1.0,0.0,0.0,26,2177.0,725.666666,933.264342,3.0,0,1,1.0
A588496840626802952,304.0,1,0.5,0.5,1.0,31,298.0,99.3333333,81.3039564,1.0,0,1,1.0
A609449636255502344,74.0,1,1.0,0.0,0.0,0,9168.58,158.078965,477.613572,4.0,0,1,1.0
A482132874347155720,206.0,3,0.33333333,0.66666666,1.0,27,6001.5,200.05,263.835648,2.0,0,1,1.0
A607855562020884744,-92.0,2,1.0,0.0,0.0,26,1131.7,70.73125,73.4771957,2.0,0,1,1.0
A456933102791430408,-9.0,1,1.0,0.0,0.0,0,330.6,165.3,187.666139,1.0,0,1,1.0
A554661862050893832,144.0,1,1.0,0.0,0.0,0,4391.8,146.393333,127.22636,1.0,28,1,1.0
A582964548684746760,117.0,2,1.0,0.0,1.0,28,2885.0,961.666666,1336.32718,1.0,0,1,1.0
A553250657063145736,26.0,3,0.33333333,0.66666666,0.0,0,6833.7,213.553125,370.970534,2.0,14,1,1.0
A2016051009000289791,-429.0,5,0.4,0.6,0.0,35,2555.0,638.75,398.48076,2.0,0,1,1.0
A599227817506377992,-71.0,2,0.5,0.5,0.0,0,2398.0,1199.0,0.0,1.0,0,1,1.0
A570964942761496840,161.0,3,0.66666666,0.33333333,0.0,0,4446.28,164.677037,208.127823,3.0,0,1,1.0
A614547574262599688,258.0,2,1.0,0.0,0.0,0,997.0,498.5,593.262589,1.0,0,1,1.0
A602113167157366792,-42.0,1,1.0,0.0,0.0,22,8876.6,467.189473,1437.80315,4.0,0,1,1.0
A472969806895648776,-48.0,3,0.4,0.6,0.0,0,24.0,1.71428571,1.26664738,1.0,0,1,1.0
A2016042510000243360,253.0,5,0.4,0.6,1.0,0,26864.45,285.792021,645.426493,6.0,0,1,1.0
A587655645126201608,98.0,1,1.0,0.0,1.0,0,1167.2,233.44,177.558069,2.0,0,1,1.0
A570868193539657992,562.0,2,0.5,0.5,1.0,0,7281.4,428.317647,642.674372,1.0,0,1,1.0
A612054919335120904,202.0,1,0.5,0.5,0.0,0,4012.0,1337.33333,2305.0736,1.0,0,1,1.0
A2016081613000610496,25.0,2,0.66666666,0.33333333,1.0,48,667.0,222.333333,5.77350269,1.0,0,1,1.0
A597203517714731272,411.0,2,1.0,0.0,1.0,27,35748.85,310.859565,865.215574,8.0,0,1,1.0
A591741855771660296,238.0,1,0.5,0.5,0.0,29,20001.22,232.572325,384.117005,6.0,0,1,1.0
A612718604793680136,515.0,2,0.5,0.5,0.0,0,13183.1,286.58913,768.67442,3.0,45,1,1.0
A556815424428183816,55.0,1,0.0,1.0,1.0,28,8612.0,717.666666,1956.34633,2.0,0,1,1.0
A610864134510088456,-42.0,3,0.4,0.6,0.0,22,4422.3,130.067647,266.989876,1.0,0,1,1.0
A578926994029285640,292.0,1,1.0,0.0,1.0,0,27152.0,1810.13333,2420.17844,2.0,0,1,1.0
A504071734379417608,254.0,4,0.25,0.75,0.0,0,17447.66,498.504571,1386.55458,1.0,0,1,1.0
A515116352017534984,-62.0,2,0.5,0.5,0.0,0,171.7,57.2333333,41.1162174,1.0,0,1,1.0
A577487573455212552,329.0,2,0.5,0.5,1.0,27,31979.2,336.623157,936.75225,10.0,16,1,1.0
A596903917875367944,609.0,3,0.16666666,0.83333333,0.0,32,21962.42,244.026888,470.671048,6.0,0,1,1.0
A2016060218000360229,-74.0,2,0.5,0.5,0.0,0,3261.0,652.2,1311.57089,1.0,4,1,1.0
A609221513681309960,222.0,2,1.0,0.0,0.0,0,2741.3,85.665625,81.9286338,4.0,0,1,1.0
A593397241763336200,96.0,1,1.0,0.0,0.0,0,4574.3,415.845454,807.221619,3.0,1,1,1.0
A506975995534774280,89.0,1,0.0,1.0,0.0,0,2888.0,1444.0,1633.41666,1.0,1,1,1.0
A578736115901534472,95.0,2,1.0,0.0,1.0,21,566.0,188.666666,99.5004187,1.0,0,1,1.0
A602650342617780232,-51.0,2,1.0,0.0,1.0,20,30196.4,1437.92381,2116.55503,4.0,1,1,1.0
A538863786010874120,-187.0,7,0.09090909,0.9090909,1.0,0,23617.35,638.306756,809.214182,3.0,0,1,1.0
A615219985643474952,104.0,1,1.0,0.0,0.0,0,5933.0,2966.5,4147.18127,2.0,0,1,1.0
A582027546690850824,17.0,1,1.0,0.0,0.0,0,1068.6,106.86,92.7259187,1.0,0,1,1.0
A536638861938266120,60.0,1,0.0,1.0,0.0,0,829.9,207.475,331.137799,1.0,0,1,1.0
A609484221966192904,192.0,3,0.33333333,0.66666666,0.0,0,3305.5,254.26923,159.2767,1.0,0,1,1.0
A601269786374050056,-14.0,2,1.0,0.0,1.0,0,4662.52,160.776551,194.157067,2.0,0,1,1.0
A578869051841843464,334.0,3,0.66666666,0.33333333,0.0,28,34327.8,591.85862,1467.7495,6.0,11,1,1.0
A603507371053945096,322.0,2,0.5,0.5,0.0,20,4090.3,102.2575,136.399779,3.0,0,1,1.0
A614571731910135816,-141.0,6,0.42857142,0.57142857,1.0,28,46729.34,467.2934,1238.00031,7.0,0,1,1.0
A521689567997202440,278.0,2,0.0,1.0,0.0,0,1210.0,403.333333,81.3654308,1.0,0,1,1.0
A615444221775581448,41.0,4,0.25,0.75,1.0,23,82518.84,736.775357,1407.11272,11.0,0,1,1.0
A608689430189838344,-90.0,3,0.66666666,0.33333333,1.0,21,64654.55,269.393958,901.724871,23.0,0,1,1.0
A575365717080150024,238.0,2,0.5,0.5,1.0,25,2262.0,754.0,1083.44866,1.0,0,1,1.0
A575211417083318280,113.0,1,1.0,0.0,1.0,39,736.5,368.25,467.751135,1.0,0,1,1.0
A575218619667976200,-160.0,5,0.625,0.375,1.0,31,94633.29,801.977033,1470.99081,14.0,67,1,1.0
A588439501202788616,234.0,2,1.0,0.0,0.0,0,440.5,146.833333,77.9711538,2.0,0,1,1.0
A533286669843959816,-266.0,3,1.0,0.0,1.0,29,29448.61,323.611098,875.361018,7.0,15,1,1.0
A612980373143425032,368.0,3,0.66666666,0.33333333,0.0,0,8044.0,2011.0,2861.89133,2.0,0,1,1.0
A606416747288858632,-116.0,1,0.5,0.5,0.0,0,11517.8,1279.75555,1130.8554,1.0,0,1,1.0
A609148997671587848,233.0,1,0.66666666,0.33333333,0.0,0,8293.0,1658.6,2871.89141,2.0,0,1,1.0
A588796525904138504,-100.0,1,0.5,0.5,0.0,0,4442.91,148.097,247.975669,3.0,0,1,1.0
A616128535752347656,-32.0,1,1.0,0.0,0.0,0,2286.4,326.628571,529.964196,2.0,0,1,1.0
A465715130114511112,610.0,4,0.4,0.6,1.0,29,19783.76,206.080833,463.182204,8.0,7,1,1.0
A2016041213000212269,217.0,3,0.5,0.5,0.0,0,13181.44,470.765714,1404.86562,5.0,0,1,1.0
A606266599124504584,395.0,1,1.0,0.0,0.0,0,6486.0,720.666666,536.193295,2.0,9,1,1.0
A599241973768917000,314.0,1,1.0,0.0,1.0,28,28951.05,827.172857,1862.37469,2.0,0,1,1.0
A2016082410000640389,36.0,2,0.5,0.5,0.0,0,18199.55,206.813068,401.300923,5.0,15,1,1.0
A594915305663238408,323.0,2,1.0,0.0,0.0,0,207.0,103.5,6.36396103,1.0,0,1,1.0
A579673506992623880,53.0,1,0.5,0.5,1.0,33,274.0,137.0,156.977705,1.0,0,1,1.0
A575836336225783816,-156.0,1,1.0,0.0,0.0,0,5137.86,642.2325,1146.03007,2.0,0,1,1.0
A575735728261042440,756.0,2,0.66666666,0.33333333,1.0,30,10825.25,264.030487,1181.78018,7.0,0,1,1.0
A616044984226812168,-38.0,4,0.25,0.75,0.0,0,3439.0,104.212121,59.8663237,5.0,1,1,1.0
A575238680503914504,229.0,7,0.66666666,0.33333333,1.0,26,165.9,82.95,46.7397582,1.0,3,1,1.0
A2016052618000339220,-148.0,1,1.0,0.0,1.0,20,450.9,40.990909,13.319944,1.0,1,1,1.0
A615776720066187528,-109.0,2,0.33333333,0.66666666,1.0,0,14867.84,391.258947,556.537329,5.0,3,1,1.0
A578806402110197768,581.0,4,0.33333333,0.66666666,1.0,30,149827.65,665.900666,957.461113,4.0,1,1,1.0
A608469392916746248,-52.0,2,0.5,0.5,1.0,28,6694.0,1115.66666,1508.14676,1.0,0,1,1.0
A576496869849436424,285.0,3,0.5,0.5,0.0,0,12919.0,1845.57142,2486.43793,2.0,0,1,1.0
A576627527125045256,606.0,8,0.7,0.3,1.0,30,104543.68,653.398,1433.71527,15.0,107,1,1.0
A593625871714095368,103.0,1,1.0,0.0,0.0,0,757.9,68.9,21.4939526,1.0,0,1,1.0
A602945103505395720,144.0,1,1.0,0.0,0.0,0,8280.5,920.055555,1665.05361,1.0,0,1,1.0
A575281306041061640,106.0,2,1.0,0.0,0.0,0,26519.95,697.893421,1170.76018,5.0,6,1,1.0
A567482574109151496,-110.0,1,1.0,0.0,0.0,0,825.8,68.8166666,32.8265644,2.0,0,1,1.0
A575921358794395656,217.0,3,0.66666666,0.33333333,0.0,0,22704.7,294.866233,759.941472,11.0,0,1,1.0
A507326110061564168,329.0,3,0.33333333,0.66666666,0.0,36,19767.0,2196.33333,2021.33087,2.0,0,1,1.0
A576158392368762888,516.0,5,0.83333333,0.16666666,0.0,0,53967.29,449.727416,1041.8306,9.0,11,1,1.0
A2016052413000332274,355.0,5,0.5,0.5,0.0,0,89805.35,1136.77658,2021.15654,7.0,0,1,1.0
A485276167503352072,-268.0,2,0.66666666,0.33333333,0.0,25,16.9,8.45,10.535891,1.0,0,1,1.0
A607082628658499848,250.0,2,0.5,0.5,0.0,0,3417.8,569.633333,1337.18516,1.0,13,1,1.0
A477222925657706504,87.0,2,1.0,0.0,1.0,22,2749.9,152.772222,134.989728,3.0,2,1,1.0
A583157425431908360,244.0,1,1.0,0.0,0.0,0,12466.64,336.936216,698.151921,1.0,0,1,1.0
A530186458523242760,352.0,2,0.33333333,0.66666666,0.0,0,43062.49,1594.90703,2181.10286,1.0,25,1,1.0
A581724068017869064,-188.0,5,0.5,0.5,1.0,0,13702.0,685.1,976.004794,1.0,0,1,1.0
A520941314204766216,191.0,1,1.0,0.0,0.0,31,62131.25,517.760416,1135.59869,1.0,0,1,1.0
A612257702063640584,177.0,1,1.0,0.0,0.0,0,3192.0,638.4,1319.67507,2.0,4,1,1.0
A598291941465001992,303.0,1,1.0,0.0,1.0,24,379.0,189.5,225.567063,1.0,0,1,1.0
A601386105253662728,-24.0,1,1.0,0.0,1.0,25,3907.9,976.975,1293.80258,2.0,0,1,1.0
A2016070416000461354,68.0,3,0.66666666,0.33333333,0.0,0,8171.1,817.11,1029.03013,1.0,19,1,1.0
A612743778125484040,311.0,2,0.5,0.5,0.0,0,1318.8,263.76,366.723039,2.0,0,1,1.0
A521571027285708808,209.0,2,0.66666666,0.33333333,0.0,0,3873993.42,69178.4539,514420.29,6.0,36,1,0.0
A469414518833811464,230.0,4,0.5,0.5,1.0,33,46668.44,1166.711,1481.87402,5.0,0,1,1.0
A586215709969747976,783.0,4,0.33333333,0.66666666,0.0,0,11869.7,289.504878,288.609935,8.0,0,1,1.0
A607369004989813000,-49.0,1,1.0,0.0,0.0,0,496.0,248.0,162.634559,1.0,0,1,1.0
A608111078248812808,149.0,1,1.0,0.0,0.0,0,5970.34,67.0824719,202.888939,7.0,116,1,1.0
A2016041916000228701,-31.0,2,0.5,0.5,0.0,0,99.9,49.95,0.0,1.0,0,1,1.0
A613758742852276488,314.0,1,0.5,0.5,1.0,32,201.0,67.0,114.315353,3.0,0,1,1.0
A610829175380512776,193.0,1,1.0,0.0,1.0,26,775.5,110.785714,90.8193523,1.0,0,1,1.0
A580487378875977736,331.0,2,0.5,0.5,1.0,0,24953.3,779.790625,1743.70921,2.0,0,1,1.0
A575193531690258696,177.0,1,1.0,0.0,1.0,0,20998.1,1105.16315,1261.93696,3.0,6,1,1.0
A581622281051083016,481.0,1,1.0,0.0,0.0,0,48077.04,400.642,1044.85746,3.0,0,1,1.0
A546666833537667080,19.0,1,1.0,0.0,0.0,25,958.0,319.333333,174.646309,1.0,0,1,1.0
A579612217767366664,109.0,1,1.0,0.0,0.0,0,12809.4,1829.91428,2296.53409,2.0,0,1,1.0
A599072868046737672,240.0,1,1.0,0.0,0.0,0,304.0,152.0,4.24264068,1.0,0,1,1.0
A578820404550832136,-76.0,1,1.0,0.0,1.0,34,15358.1,255.968333,422.336568,5.0,0,1,1.0
A575186155176202248,622.0,4,0.6,0.4,1.0,3,31312.85,149.108809,487.376614,16.0,88,1,1.0
A601977745563455752,383.0,3,1.0,0.0,0.0,0,33624.32,579.729655,1037.8016,12.0,10,1,1.0
A579028600439705864,606.0,4,0.0,1.0,0.0,0,7994.0,532.933333,1217.78275,1.0,0,1,1.0
A520353837899321352,10.0,1,1.0,0.0,1.0,27,175.0,87.5,26.1629509,1.0,0,1,1.0
A575046017674645768,-95.0,3,0.33333333,0.66666666,0.0,0,1998.0,999.0,0.0,1.0,0,1,1.0
A616527428465987592,-24.0,3,0.66666666,0.33333333,0.0,0,1078.7,119.855555,51.8334619,1.0,0,1,1.0
A606912038790238216,342.0,2,0.5,0.5,1.0,24,25380.98,619.048292,855.721293,2.0,0,1,1.0
A587447430044192776,136.0,1,1.0,0.0,1.0,24,997.0,498.5,140.714249,1.0,0,1,1.0
A576721713140601096,377.0,1,0.5,0.5,1.0,31,952.8,190.56,247.394155,1.0,0,1,1.0
A574756220259274760,19.0,2,0.5,0.5,0.0,0,213.9,26.7375,11.2547053,2.0,0,1,1.0
A536934981587439624,125.0,3,0.33333333,0.66666666,0.0,0,1407.38,87.96125,67.038053,1.0,0,1,1.0
A581031838407987464,77.0,1,1.0,0.0,0.0,0,288.0,144.0,134.350288,1.0,0,1,1.0
A575463083200221192,-82.0,2,0.66666666,0.33333333,1.0,3,8283.3,1380.55,1164.74909,1.0,0,1,1.0
A472229486864109832,-19.0,1,1.0,0.0,0.0,0,233.0,116.5,72.8319984,2.0,0,1,1.0
A585475933964603656,8.0,1,1.0,0.0,0.0,0,173.96,57.9866666,65.8294776,2.0,0,1,1.0
A594032425181384712,-70.0,4,0.33333333,0.66666666,1.0,33,22369.2,294.331578,465.479528,3.0,0,1,1.0
A560711937457918216,55.0,1,1.0,0.0,0.0,0,16928.8,564.293333,1324.15759,3.0,0,1,1.0
A2016062918000445931,93.0,3,0.66666666,0.33333333,1.0,29,573.0,191.0,51.4684369,1.0,0,1,1.0
A552003965730951176,151.0,2,0.6,0.4,1.0,22,11291.35,213.044339,338.203958,4.0,7,1,1.0
A607690877531328776,-125.0,2,0.33333333,0.66666666,0.0,0,15143.6,473.2375,1024.80233,3.0,0,1,1.0
A574802791227199496,288.0,2,0.5,0.5,1.0,28,41309.3,469.423863,762.75146,11.0,37,1,1.0
A614105386567340040,-108.0,4,0.5,0.5,0.0,23,28165.33,256.048454,1013.94872,10.0,5,1,1.0
A568645040419639560,32.0,1,0.5,0.5,0.0,21,1287.4,128.74,109.815099,2.0,0,1,1.0
A578798208856101128,-18.0,1,1.0,0.0,0.0,0,293.0,58.6,31.8951407,1.0,0,1,1.0
A575454832073117960,558.0,2,0.5,0.5,0.0,57,53900.22,508.492641,827.866,2.0,43,1,1.0
A597686441933279496,252.0,1,1.0,0.0,0.0,0,748.99,46.811875,48.3016727,1.0,0,1,1.0
A603687631477280776,-62.0,1,1.0,0.0,0.0,0,623.4,69.2666666,71.6982914,3.0,0,1,1.0
A592732801816596744,408.0,4,1.0,0.0,1.0,33,2183.6,436.72,359.77489,2.0,5,1,1.0
A565286481103425544,-158.0,2,0.5,0.5,1.0,32,5460.8,1820.26666,3099.27398,1.0,0,1,1.0
A613123347730927624,-103.0,3,0.75,0.25,0.0,32,15794.15,717.915909,1364.17254,3.0,2,1,1.0
A2016070815000474953,81.0,2,0.66666666,0.33333333,1.0,0,54826.3,961.864912,1597.78736,7.0,31,1,1.0
A534498088446857224,261.0,1,1.0,0.0,1.0,23,332.0,166.0,45.254834,1.0,0,1,1.0
A583221773219139592,-118.0,2,1.0,0.0,1.0,0,11376.0,5688.0,0.0,1.0,0,1,1.0
A540636815065878536,248.0,6,0.5,0.5,0.0,0,81392.86,207.634846,530.265953,18.0,41,1,1.0
A601790382329565192,631.0,3,0.6,0.4,0.0,24,2720.74,340.0925,754.998784,1.0,1,1,1.0
A599719329260376072,722.0,7,0.25,0.75,1.0,28,18809.6,606.76129,958.312885,4.0,0,1,1.0
A574038466715717896,889.0,2,0.5,0.5,0.0,4,7236.4,723.64,1423.65004,1.0,0,1,1.0
A575183950675185928,-160.0,2,0.33333333,0.66666666,1.0,27,173.9,43.475,23.5457533,2.0,0,1,1.0
A530304007978094600,-16.0,1,1.0,0.0,0.0,0,1257.0,157.125,67.505423,1.0,0,1,1.0
A575149968440954888,767.0,6,0.28571428,0.71428571,1.0,24,22389.6,439.011764,1013.46237,1.0,20,1,1.0
A520900276295569672,281.0,2,0.5,0.5,0.0,0,546.0,182.0,125.765655,1.0,0,1,1.0
A575527486863970568,176.0,3,0.66666666,0.33333333,0.0,0,9825.14,350.897857,900.032455,4.0,0,1,1.0
A595384674352632072,51.0,1,1.0,0.0,0.0,0,495.4,123.85,127.25037,1.0,0,1,1.0
A574731050618458376,336.0,2,0.5,0.5,0.0,0,573.64,47.8033333,23.9986163,5.0,0,1,1.0
A564163444320768264,93.0,3,0.25,0.75,1.0,31,525.0,131.25,60.4062634,1.0,0,1,1.0
A608683155989205000,240.0,2,0.5,0.5,0.0,27,27.4,13.7,1.69705627,1.0,0,1,1.0
A538222933781254408,-303.0,1,1.0,0.0,0.0,0,2891.56,137.693333,108.278351,4.0,0,1,1.0
A609237204312527112,-111.0,5,0.14285714,0.85714285,0.0,0,4973.76,95.6492307,70.0756646,6.0,1,1,1.0
A554881025382027528,-141.0,1,1.0,0.0,1.0,28,1658.4,552.8,864.466841,2.0,3,1,1.0
A581881899425730824,153.0,2,1.0,0.0,0.0,0,6857.47,167.255365,230.092679,2.0,0,1,1.0
A575094132322603272,604.0,2,0.5,0.5,0.0,0,7992.0,1332.0,527.383731,3.0,0,1,1.0
A575264458016821512,112.0,2,0.66666666,0.33333333,0.0,0,17315.02,203.706117,271.305185,7.0,0,1,1.0
A507399319733669896,70.0,1,1.0,0.0,0.0,0,228.0,114.0,21.2132034,1.0,0,1,1.0
A603975022654001416,211.0,6,0.14285714,0.85714285,0.0,0,3797.9,1265.96666,2097.56191,1.0,0,1,1.0
A595539006645604360,728.0,3,0.66666666,0.33333333,1.0,42,16170.49,248.776769,592.104378,3.0,0,1,1.0
A571075069581725704,178.0,2,0.33333333,0.66666666,1.0,0,90.0,45.0,0.0,1.0,0,1,1.0
A611367062488486152,-44.0,2,0.5,0.5,0.0,0,871.6,145.266666,99.566795,2.0,0,1,1.0
A613090818235830536,328.0,3,0.66666666,0.33333333,0.0,33,11680.56,530.934545,1235.70849,4.0,15,1,1.0
A604532958400876552,-96.0,2,1.0,0.0,0.0,25,2757.9,393.985714,1016.57487,1.0,0,1,1.0
A2016080705000577769,0.0,1,1.0,0.0,1.0,29,789.0,394.5,556.493036,2.0,2,1,1.0
A2016042119000235290,351.0,3,0.75,0.25,0.0,30,61414.5,328.419786,807.539764,14.0,42,1,1.0
A584630065615081480,636.0,2,0.66666666,0.33333333,0.0,26,61682.28,168.071607,322.946574,13.0,0,1,1.0
A596310240333402120,465.0,2,0.5,0.5,0.0,28,38969.86,419.030752,925.319047,7.0,35,1,1.0
A615048935668453384,239.0,1,1.0,0.0,1.0,26,23693.0,3948.83333,3549.847,1.0,0,1,1.0
A587890267135152136,-152.0,1,1.0,0.0,0.0,0,1782.0,891.0,992.77792,1.0,0,1,1.0
A587353065317732616,-138.0,1,1.0,0.0,0.0,0,5335.96,1778.65333,1531.4541,1.0,0,1,1.0
A592124939490824200,-249.0,1,0.5,0.5,0.0,0,7271.3,234.558064,544.849199,1.0,0,1,1.0
A577466047431446792,182.0,3,0.33333333,0.66666666,0.0,0,263489.78,10539.5912,51741.9587,2.0,0,1,1.0
A601841797852827656,158.0,4,0.42857142,0.57142857,1.0,0,21423.9,1127.57368,1646.08812,1.0,0,1,1.0
A605608732658765832,561.0,4,0.75,0.25,1.0,38,12151.15,433.969642,820.920677,1.0,0,1,1.0
A602092511057416456,241.0,2,0.33333333,0.66666666,0.0,0,56.9,14.225,23.8579651,2.0,0,1,1.0
A554419817675755784,147.0,2,0.33333333,0.66666666,0.0,0,9602.08,246.207179,440.848464,1.0,0,1,1.0
A472537327495811080,-26.0,2,0.5,0.5,0.0,0,704.0,234.666666,203.721214,1.0,1,1,1.0
A2016071600000499657,526.0,3,0.33333333,0.66666666,1.0,32,12122.95,418.032758,871.64348,3.0,0,1,1.0
A504876899651031048,159.0,3,0.33333333,0.66666666,0.0,0,5881.41,168.040285,170.472333,5.0,30,1,1.0
A2016043012000258190,-512.0,2,1.0,0.0,0.0,0,5.5,1.83333333,3.17542648,1.0,0,1,1.0
A2016071403000493266,115.0,1,1.0,0.0,1.0,24,499.4,166.466666,115.296848,2.0,0,1,1.0
A505811445426950408,138.0,1,1.0,0.0,0.0,0,805.2,115.028571,216.370474,1.0,3,1,1.0
A580527064877109256,304.0,2,1.0,0.0,0.0,36,222.88,37.1466666,36.9631203,1.0,0,1,1.0
